CustomerID,Name,Region,JoinDate,RewardPoints,RewardLevel
1047,Ashley Pearson,West,10/4/2020,56200,Bronze
1048,Dr. Donald Proctor,North,3/17/2024,162898,Silver
1049,Rebecca Jordan,West,10/8/2022,356514,Platinum
1050,Jeffrey Mclaughlin,East,3/28/2022,356573,Platinum
1051,Amy Nguyen,Central,2/13/2024,50258,Bronze
1052,Brandon Hinton,South-West,11/10/2022,342674,Platinum
1053,Benjamin Cline,East,1/25/2022,398106,Platinum
1054,Laura Mcdonald,South,12/3/2022,215442,Silver
1055,William Benitez,East,11/4/2020,8211,Bronze
1056,Kristina Wilson,East,5/15/2023,206641,Silver
1057,Kathy Hall,North,10/27/2023,239609,Silver
1058,Steven Jackson,Central,6/26/2020,161597,Silver
1059,Steve Massey,West,8/6/2020,174995,Silver
1060,Mr. Christopher Thompson,South,4/10/2023,83811,Bronze
1061,Taylor Kaufman,North,7/23/2021,78116,Bronze
1062,Ashley Harmon,South,2/13/2024,357951,Platinum
1063,Howard Case,South-West,2/15/2021,212193,Silver
1064,Joshua Cline,East,2/19/2024,102349,Silver
1065,Daniel Adams,Central,7/2/2023,2296,Bronze
1066,Derrick Myers,North,4/6/2022,139532,Silver
1067,Lawrence Pearson,East,4/29/2023,367382,Platinum
1068,Melissa Gutierrez,East,12/25/2023,382943,Platinum
1069,Virginia Warren,North,8/24/2023,58496,Bronze
1070,Brittany Johnson,East,6/4/2021,301997,Platinum
1071,Christopher Frost,East,8/21/2020,166919,Silver
1072,Shannon Schmitt,East,8/23/2022,303227,Platinum
1073,Matthew Clark,Central,8/21/2023,388141,Platinum
1074,Alyssa Evans,West,10/27/2021,210123,Silver
1075,Joseph Chavez,North,1/1/2023,388450,Platinum
1076,Glenn Shelton,East,5/1/2024,159317,Silver
1077,Amy Espinoza,North,5/29/2021,268592,Silver
1078,Danielle Fuller,South-West,12/8/2023,303139,Platinum
1079,Zachary Thompson MD,East,9/5/2022,26024,Bronze
1080,Thomas Parker,South-West,2/28/2023,184888,Silver
1081,Ryan White,South,9/4/2020,214088,Silver
1082,Connor Martin,Central,1/5/2023,343741,Platinum
1083,Jacqueline Bishop,South,6/5/2020,320972,Platinum
1084,Martha Mccall,North,5/31/2022,147011,Silver
1085,Steven Wright,Central,8/22/2021,303549,Platinum
1086,Robert Rodriguez,East,3/1/2023,285016,Silver
1087,Carla Tran,East,7/22/2020,196780,Silver
1088,Lindsay Torres,East,12/30/2021,61048,Bronze
1089,Matthew Hernandez,North,4/12/2023,141081,Silver
1090,Nicholas Dunlap,South,10/11/2020,310560,Platinum
1091,Brianna Thomas,South-West,5/23/2023,287233,Silver
1092,Timothy Hill,West,9/7/2023,393810,Platinum
1093,Christian Medina,East,2/4/2023,225008,Silver
1094,Robert Jones,West,11/18/2023,391865,Platinum
1095,Dr. Jason Scott,South,4/7/2021,127559,Silver
1096,Patricia Rogers,South,1/10/2024,185222,Silver
1097,Laura Jones,East,12/7/2023,228354,Silver
1098,Jeffrey Maxwell,West,1/27/2022,340009,Platinum
1099,Lori Howard,East,2/27/2021,216886,Silver
1100,Michael Simon,East,12/27/2020,42492,Bronze
1101,Ryan Martin,South-West,11/14/2020,329238,Platinum
1102,Robert Hansen,Central,11/19/2022,244981,Silver
1103,Megan Chandler,East,6/25/2023,354269,Platinum
1104,David Herrera,West,4/1/2021,236106,Silver
1105,Taylor Clarke,Central,3/11/2023,48024,Bronze
1106,Jennifer Ewing,East,5/16/2023,117693,Silver
1107,Emily Hoffman,West,6/9/2023,318671,Platinum
1108,Sharon Bautista,Central,7/31/2022,194286,Silver
1109,Aaron Garcia,East,7/31/2023,22773,Bronze
1110,Melissa Grimes,South,3/14/2024,45303,Bronze
1111,Ronald Chavez,South-West,6/24/2021,95200,Bronze
1112,Joseph Flores,East,4/3/2021,203076,Silver
1113,Louis Jones,Central,7/4/2021,160792,Silver
1114,Grace Price,South,3/25/2022,200279,Silver
1115,Gina Banks,West,9/16/2023,152749,Silver
1116,Melissa Rivera,Central,10/25/2021,171035,Silver
1117,Amanda Lang,North,4/14/2024,194650,Silver
1118,Briana Alvarado,South,3/18/2022,217402,Silver
1119,Cameron Hernandez,East,8/8/2022,192391,Silver
1120,Daniel Meyer,South,3/15/2024,330448,Platinum
1121,Stephanie Garrison,East,8/21/2020,304201,Platinum
1122,Christopher Martinez,East,10/7/2021,351943,Platinum
1123,Colleen Greene,South-West,8/21/2022,156274,Silver
1124,Megan Novak,East,12/19/2022,70764,Bronze
1125,Debbie Andrews,West,5/22/2021,172713,Silver
1126,Lee Luna,East,1/19/2021,196679,Bronze
1127,George Edwards,Central,5/12/2023,62253,Bronze
1128,Vincent Day,North,7/3/2022,393735,Platinum
1129,Karina Jones,East,11/5/2023,27515,Bronze
1130,Mary Sandoval,North,10/6/2020,71435,Bronze
1131,Mark Gomez,West,6/11/2020,333087,Platinum
1132,Scott Winters,West,9/20/2022,296543,Silver
1133,Victor Wagner,South-West,6/12/2021,363898,Platinum
1134,Joseph Aguilar,West,12/5/2023,298304,Silver
1135,Christopher Chen,South,9/10/2023,313194,Platinum
1136,Scott Hernandez,South,2/9/2024,308378,Platinum
1137,Jessica Harmon,South-West,11/5/2022,86284,Bronze
1138,Bonnie Stewart,South,4/19/2022,185526,Silver
1139,Heather Olson,Central,4/20/2021,134539,Silver
1140,Carla Flores,East,9/30/2020,95827,Bronze
1141,David Palmer,North,9/16/2022,120233,Silver
1142,Marvin Hamilton,North,4/23/2022,245556,Silver
1143,Miss Chelsea Castro DDS,Central,2/23/2021,331791,Platinum
1144,Brian Browning,East,5/3/2023,315689,Platinum
1145,Stephanie Powell,East,2/3/2023,176511,Silver
1146,Jonathan Andrade,South-West,6/7/2020,257293,Silver
1147,William Palmer,South-West,8/14/2023,170337,Silver
1148,Dean Allison,West,6/23/2021,287383,Silver
1149,Jordan Elliott,North,5/13/2020,397889,Platinum
1150,Bobby Hunter,North,12/6/2020,271900,Silver
1151,Sabrina Lester,West,7/16/2022,99410,Bronze
1152,Thomas Garcia,East,9/14/2022,152063,Silver
1153,Michelle Martinez,East,7/31/2023,77958,Bronze
1154,Edward Castillo,North,10/1/2020,9809,Bronze
1155,Rachel Goodman,North,4/10/2023,103134,Silver
1156,Dennis Acevedo,East,6/18/2023,23969,Bronze
1157,Cheryl Wu,West,12/10/2021,316907,Platinum
1158,Kelly Gallagher,East,3/2/2024,278902,Silver
1159,Kelli Smith,North,1/28/2022,325193,Platinum
1160,Phillip Soto,West,4/21/2023,342254,Platinum
1161,David Ellis,East,1/2/2023,9512,Bronze
1162,Deborah Rice,East,1/14/2022,312663,Platinum
1163,Elizabeth Vaughn,West,5/1/2023,319233,Platinum
1164,William Ramsey,North,5/4/2023,34044,Bronze
1165,Richard Burnett,Central,7/24/2022,144330,Silver
1166,David Mccullough,South-West,12/15/2021,301282,Platinum
1167,Terry Frederick,North,12/20/2021,122046,Silver
1168,Denise Gonzales,South,5/2/2022,24864,Bronze
1169,Michael Edwards,South-West,9/26/2023,385820,Platinum
1170,Eric Davis,North,10/15/2023,171735,Silver
1171,Ronald Marquez,South-West,4/21/2024,385292,Platinum
1172,Eric Barr,East,2/1/2023,170367,Silver
1173,David King MD,North,9/14/2022,247014,Silver
1174,Deborah Saunders,West,12/25/2021,321370,Platinum
1175,Teresa Lopez,West,10/20/2021,324863,Platinum
1176,Ashley Williams,East,11/24/2021,300754,Platinum
1177,Katherine West,East,11/1/2020,202337,Silver
1178,Katherine Kerr,East,11/13/2020,307807,Platinum
1179,Desiree Miller,East,12/21/2021,300948,Platinum
1180,Jennifer Smith,South-West,10/3/2020,69955,Bronze
1181,Tiffany Smith,East,4/7/2024,243959,Silver
1182,James Gray,West,7/24/2020,396354,Platinum
1183,Kenneth Graves,East,5/8/2020,104397,Silver
1184,Brittney Chen,East,7/20/2023,243454,Silver
1185,Cameron Levine,East,7/26/2021,33094,Bronze
1186,Timothy Williams,West,9/28/2021,92970,Bronze
1187,Kayla Solomon,North,6/10/2022,330993,Platinum
1188,Ashley Todd,North,9/4/2023,216527,Silver
1189,Jennifer Farrell,North,11/18/2022,138464,Silver
1190,Elizabeth Robinson,South-West,12/27/2023,167615,Silver
1191,Kyle Smith Jr.,South,10/31/2023,37780,Bronze
1192,Gregory Medina,East,6/6/2020,235370,Silver
1193,Nancy King,South,5/23/2022,13669,Bronze
1194,Casey Brown,Central,2/9/2024,16768,Bronze
1195,Michael Lee,South-West,8/22/2023,275267,Silver
1196,Dr. Elizabeth Johnston DDS,North,2/9/2022,201458,Silver
1197,William Wilson,West,4/4/2023,342138,Platinum
1198,Chris Allen,South-West,10/11/2022,393120,Platinum
1199,James Cooley,West,7/23/2020,281276,Silver
